자치구,법정동,시작일,종료일,상태,계열,지정방식,면적기준_㎡,구역면적_㎢,공고건수,근거공고
성북구,정릉동,2022-01-29,2024-01-03,지정,미분류|정비사업후보지|주요재건축단지,일부,18,0.022598,2,시보20220124_p7-53|시보20221230_p179-233
성북구,정릉동,2024-01-04,2024-08-12,불명,,,,,0,
성북구,정릉동,2024-08-13,2029-09-09,지정,국제교류복합지구|모아타운|신규주택공급후보지|주요재건축단지,동전체,60→6→60,5.45,4,국토교통부공고제2026-1079호(토지거래허가구역 지정 공고)|시보20240808_p4-7|시보20240905_p3-79|시보20240925_p538-545
성북구,종암동,2023-01-04,2029-09-09,지정,공공재개발|모아타운|신속통합기획|정비사업후보지|주요재건축단지,혼합,6,0.3,4,시보20221230_p179-233|시보20231220_p249-307|시보20240905_p3-79|시보20241218_p364-437
성북구,하월곡동,2022-01-02,2024-01-01,지정,정비사업후보지,일부,18,0.079756,2,시보20211228_p17-40|시보20221223_p7-30
성북구,하월곡동,2024-01-02,2025-01-25,불명,,,,,0,
성북구,하월곡동,2025-01-26,2026-01-28,지정,공공재개발|신속통합기획|정비사업후보지|주요재건축단지,일부,6,,1,시보20241218_p364-437
송파구,거여동,2021-04-04,2025-04-03,지정,공공재개발|신속통합기획|정비사업후보지,일부,18→6,0.073423,4,시보20210330_p16-33|시보20220323_p91-108|시보20230322_p181-205|시보20240320_p339-342
송파구,마천동,2022-01-02,2024-01-03,지정,미분류|정비사업후보지|주요재건축단지,일부,18,0.106101,4,시보20211228_p17-40|시보20220124_p7-53|시보20221223_p7-30|시보20221230_p179-233
송파구,마천동,2024-01-04,2024-08-12,불명,,,,,0,
송파구,마천동,2024-08-13,2029-11-09,지정,공공재개발|미분류|신규주택공급후보지|신속통합기획|자연녹지|정비사업후보지|주요재건축단지,혼합,60→6→60,0.96,4,국토교통부공고제2024-1140호(토지거래허가구역 지정 공고)|국토교통부공고제2024-1506호(토지거래허가구역 지정 및 해제 공고)|국토교통부공고제2026-1079호(토지거래허가구역 지정 공고)|시보20241218
송파구,방이동,2024-08-13,2029-11-09,지정,미분류|신규주택공급후보지|자연녹지,동전체,60,1.54,3,국토교통부공고제2024-1140호(토지거래허가구역 지정 공고)|국토교통부공고제2024-1506호(토지거래허가구역 지정 및 해제 공고)|국토교통부공고제2026-1079호(토지거래허가구역 지정 공고)
송파구,송파동,2023-01-26,2025-01-25,지정,공공재개발|신속통합기획|정비사업후보지,일부,6,0.06237,2,시보20230118_p234-257|시보20240118_p119-141
